category_id,category_name,parent_category_id,description,is_seasonal,typical_margin_percentage,created_at
1,Womens Clothing,,City usually ever pressure economy. Professor power appear personal rise sense.,t,0.36,2023-03-02 22:01:14
2,Bottoms,1,Him spend themselves political. Attention none particular clearly.,f,0.19,2023-07-09 06:22:57
3,Tops,1,Onto add democratic. We huge expert Republican.,t,0.17,2024-01-05 19:29:36
4,Mens Clothing,,Break partner area program price compare. Remain reduce clearly.,t,0.33,2023-04-04 15:58:08
5,Pants,4,Matter note happy effort. Thus purpose boy scientist. Analysis television each.,t,0.17,2023-10-28 12:12:01
6,Accessories,,Theory tend similar financial. Network account customer nor. Science drug happy will young.,t,0.22,2022-11-01 10:42:25
7,Jewelry,6,Day work information which. Republican behavior TV today.,t,0.30,2024-07-17 05:09:17
8,Footwear,,Board black last finish building group show later. Enter build citizen rather step recent American.,f,0.35,2023-03-03 05:22:24
9,Formal,8,Head piece popular old else spend. Young cup position.,t,0.37,2023-01-06 07:14:41
10,Activewear,,Every land chance pass. Early far include nearly article evidence case current.,f,0.22,2023-06-28 16:30:59
11,Running,10,Speak line group once. Wind beyond prevent entire staff.,t,0.18,2024-05-23 11:32:29
12,Yoga,10,Against only true similar. Team whether health walk how big few. Wish run join police.,f,0.26,2024-09-05 16:21:29
